item_id,canonical_name,item_type,clinical_category,manufacturer,supplier_id,supplier_name,catalogue_number,barcode_gtin,unit_of_measure,sterile_required,single_use,implantable,controlled_item,active_status,source_profile_count,related_procedures
INV-INST-ARTHREX_CUFF_REPAIR_KIT,Arthrex Cuff Repair Kit,instrument,Instrument trays,Arthrex,SUP-ARTHREX,Arthrex,INS-710385,05010433218196,tray,True,False,False,False,active,1,Arthroscopic Rotator Cuff Repair
INV-INST-BICEPS_TENODESIS_KIT,Biceps Tenodesis Kit,instrument,Instrument trays,Stryker,SUP-STRYKER,Stryker UK,INS-860182,05001338908386,tray,True,False,False,False,active,1,Arthroscopic Biceps Tenodesis
INV-INST-CPCS_TOTAL_HIP_SYSTEM,CPCS Total Hip System,instrument,Instrument trays,DePuy Synthes,SUP-DEPUY,DePuy Synthes,INS-387907,05079402654235,tray,True,False,False,False,active,1,Total Hip Replacement (Cemented)
INV-INST-CASPAR_RETRACTOR_SYSTEM,Caspar Retractor System,instrument,Instrument trays,Stryker,SUP-STRYKER,Stryker UK,INS-603026,05016155940781,tray,True,False,False,False,active,1,Lumbar Laminectomy
INV-INST-CONMED_POWERTOOLS,Conmed PowerTools,instrument,Instrument trays,Smith & Nephew,SUP-SN,Smith & Nephew,INS-212915,05018495931034,tray,True,False,False,False,active,1,Total Knee Replacement
INV-INST-CONMED_POWERTOOLS_WITH_TRINKLE,Conmed PowerTools with Trinkle,instrument,Instrument trays,Stryker,SUP-STRYKER,Stryker UK,INS-540250,05031647525534,tray,True,False,False,False,active,1,Total Hip Replacement (Cemented)
INV-INST-DEPUY_SYNTHES_TFNA_INSTRUMENT_,DePuy Synthes TFNA Instrument Tray,instrument,Instrument trays,DePuy Synthes,SUP-DEPUY,DePuy Synthes,INS-534059,05019283276483,tray,True,False,False,False,active,1,Fixation of fracture of neck of femur using intramedullary nail
INV-INST-HAND_ARTHROPLASTY_SET,Hand Arthroplasty Set,instrument,Instrument trays,Arthrex,SUP-ARTHREX,Arthrex,INS-104537,05003056413953,tray,True,False,False,False,active,1,Thumb Carpometacarpal Joint Arthroplasty
INV-INST-HERAEUS_CEMENT_GUN,Heraeus Cement Gun,instrument,Bone cement and cementing,Smith & Nephew,SUP-SN,Smith & Nephew,INS-416554,05067242388496,tray,True,False,False,False,active,2,Total Hip Replacement (Cemented); Total Knee Replacement
INV-INST-JOURNEY_II_BCS_KNEE_SYSTEM,JOURNEY II BCS Knee System,instrument,Instrument trays,Smith & Nephew,SUP-SN,Smith & Nephew,INS-725688,05053287101226,tray,True,False,False,False,active,1,Total Knee Replacement
INV-INST-JUG,Jug,instrument,Instrument trays,Stryker,SUP-STRYKER,Stryker UK,INS-223302,05066978480184,tray,True,False,False,False,active,2,Total Hip Replacement (Cemented); Total Knee Replacement
INV-INST-LARGE_ORTHOPAEDIC_SET,Large Orthopaedic Set,instrument,Instrument trays,Arthrex,SUP-ARTHREX,Arthrex,INS-455066,05014627048281,tray,True,False,False,False,active,3,Open Achilles Tendon Repair; Total Hip Replacement (Cemented); Total Knee Replacement
INV-INST-MEDACTA_SHOULDER_SYSTEM_MSS,Medacta Shoulder System (MSS),instrument,Instrument trays,Arthrex,SUP-ARTHREX,Arthrex,INS-978068,05089325288095,tray,True,False,False,False,active,1,Reverse Shoulder Replacement
INV-INST-MICRO_DISCECTOMY_CURETTES_SET,Micro-discectomy Curettes Set,instrument,Instrument trays,Smith & Nephew,SUP-SN,Smith & Nephew,INS-738778,05001543039117,tray,True,False,False,False,active,1,Spinal Microdiscectomy
INV-INST-MINOR_HAND_INSTRUMENT_SET,Minor Hand Instrument Set,instrument,Instrument trays,Stryker,SUP-STRYKER,Stryker UK,INS-345214,05082278248963,tray,True,False,False,False,active,2,Carpal Tunnel Release; Percutaneous Trigger Finger Release
INV-INST-SMALL_BONE_SET,Small Bone Set,instrument,Instrument trays,DePuy Synthes,SUP-DEPUY,DePuy Synthes,INS-130616,05046578713315,tray,True,False,False,False,active,1,MTPJ Fusion
INV-INST-SMALL_JOINT_ARTHROSCOPY_SET,Small Joint Arthroscopy Set,instrument,Arthroscopy,Stryker,SUP-STRYKER,Stryker UK,INS-702882,05098393010310,tray,True,False,False,False,active,1,Ankle Arthroscopy
INV-INST-SMITH_NEPHEW_R3_ACETABULAR_SYS,Smith & Nephew R3 Acetabular System,instrument,Instrument trays,Smith & Nephew,SUP-SN,Smith & Nephew,INS-804054,05051834738299,tray,True,False,False,False,active,1,Total Hip Replacement (Cemented)
INV-INST-SPLASH_BOWL,Splash Bowl,instrument,Instrument trays,Smith & Nephew,SUP-SN,Smith & Nephew,INS-265939,05037631165667,tray,True,False,False,False,active,2,Total Hip Replacement (Cemented); Total Knee Replacement
INV-INST-SYNTHES_LARGE_FRAGMENT_SET,Synthes Large Fragment Set,instrument,Instrument trays,DePuy Synthes,SUP-DEPUY,DePuy Synthes,INS-636208,05001065133387,tray,True,False,False,False,active,1,ORIF Tibia and Fibula
INV-INST-SYNTHES_SMALL_FRAGMENT_SET,Synthes Small Fragment Set,instrument,Instrument trays,DePuy Synthes,SUP-DEPUY,DePuy Synthes,INS-698409,05026247317810,tray,True,False,False,False,active,1,ORIF Ankle
INV-INST-ZIMMER_BIOMET_COMPREHENSIVE_SH,Zimmer Biomet Comprehensive Shoulder System,instrument,Instrument trays,Zimmer Biomet,SUP-ZIMMER,Zimmer Biomet,INS-746080,05080132677360,tray,True,False,False,False,active,1,Total Shoulder Replacement
INV-EQUI-ARTHREX_SYNERGY_UHD4_IMAGING_C,Arthrex Synergy UHD4 Imaging Console,equipment,Reusable theatre equipment,Arthrex,SUP-ARTHREX,Arthrex,EQU-843844,05026064746872,device,False,False,False,False,active,1,Arthroscopic Rotator Cuff Repair
INV-EQUI-ARTHROSCOPY_STACK_SYSTEM_WITH_,Arthroscopy stack system with HD camera,equipment,Arthroscopy,DePuy Synthes,SUP-DEPUY,DePuy Synthes,EQU-721574,05043098050097,device,False,False,False,False,active,3,Ankle Arthroscopy; Arthroscopic Biceps Tenodesis; Arthroscopic Rotator Cuff Repair
INV-EQUI-C_ARM_IMAGE_INTENSIFIER,C-Arm Image Intensifier,equipment,Reusable theatre equipment,DePuy Synthes,SUP-DEPUY,DePuy Synthes,EQU-969500,05008121913619,device,False,False,False,False,active,3,Fixation of fracture of neck of femur using intramedullary nail; ORIF Ankle; ORIF Tibia and Fibula
