Hospital,Stock area,Shelf/bin,Item description,Catalogue no,Batch/lot,Expiry,Qty counted,Unit,Checked by,Checked at,Notes
 Northbank Orthopaedic Centre , Trauma Emergency Cupboard ,B1,Glenosphere Component,IMP-895066,B928278,2026-08-07,10,ea,Stock and Procurement Manager,2026-07-06T08:00:00+00:00,Counted during morning theatre check
 Northbank Orthopaedic Centre , Vendor Loan Kit Holding Bay ,B1,Femoral Stem Component,IMP-103107,B156415,2026-10-06, 10 ,each,Team Leader,2026-07-07T17:00:00+00:00,Counted during morning theatre check
Northbank Orthopaedic Centre,Orthopaedic Implant Store,A2,1st MTP Fusion Plate,IMP-694980, B979789 ,2026-08-07,12,ea, Stock and Procurement Manager , 2026-07-05T03:00:00+00:00 ,Top-up requested
Riverside Elective Surgical Hub, Main Theatre Sterile Store ,Implant Cabinet,Bone Wax,CON-782658,B515594, 2026-08-07 ,49,pack,Stock and Procurement Manager,2026-07-07T03:00:00+00:00, Counted during morning theatre check 
 Northbank Orthopaedic Centre , Orthopaedic Implant Store ,C2,Disposable Saw Blade - Oscillating,DIS-289494,B382154,2028-06-27,63,box,Stock and Procurement Manager,2026-07-05T15:00:00+00:00,Top-up requested
Local NHS Trust,Trauma Emergency Cupboard,C2,Saw Blade (Conmed) x 1 Ref#5071-201,CON-709173, B486162 ,2027-01-04,70,box,Theatre Stores Coordinator, 2026-07-06T07:00:00+00:00 ,Top-up requested
Northbank Orthopaedic Centre,Day Surgery Store,C2,Disposable Burr 3.5mm,DIS-886087,B792687,2027-07-08,145,ea, Stock and Procurement Manager ,2026-07-05T03:00:00+00:00,Top-up requested
Northbank Orthopaedic Centre,Trauma Emergency Cupboard,B4,PDS II 1, SUT-456828 ,B944804,2028-06-27,23,box,Stock and Procurement Manager,2026-07-05T13:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub, Trauma Emergency Cupboard , C2 , Betadine Prep Solution ,CON-757766,B613234,2026-07-15, 70 , each , Team Leader ,2026-07-06T10:00:00+00:00,Packaging damaged - review
Riverside Elective Surgical Hub,Day Surgery Store,Implant Cabinet,TigerWire #2,SUT-576020,B726003,2026-08-07,61,box,Deputy Team Leader, 2026-07-06T04:00:00+00:00 ,
Local NHS Trust,Orthopaedic Implant Store,A2,Prolene 3-0,SUT-582540,B918213,2027-01-04, 75 ,bx,Theatre Stores Coordinator,2026-07-06T08:00:00+00:00,
Northbank Orthopaedic Centre, Main Theatre Sterile Store ,B1,Tubigrip Size C,DRE-581494,B494900,2026-10-06, 24 , each ,Theatre Stores Coordinator,2026-07-06T06:00:00+00:00,N/A
 Riverside Elective Surgical Hub , Vendor Loan Kit Holding Bay ,C2,Monocryl 5-0,SUT-365867,B607122,2027-07-08,54, box , Stock and Procurement Manager , 2026-07-06T12:00:00+00:00 ,Counted during morning theatre check
 Riverside Elective Surgical Hub ,Day Surgery Store,Top-up Trolley,FiberTape 2mm,SUT-133813,B421549,2026-08-07, 65 ,box,Deputy Team Leader,2026-07-07T12:00:00+00:00,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre,Main Theatre Sterile Store,B1,Scalpel Blade #15,CON-444987, B720647 ,2027-01-04, 108 ,pack,Theatre Stores Coordinator,2026-07-06T01:00:00+00:00,Packaging damaged - review
Northbank Orthopaedic Centre,Orthopaedic Implant Store,B4,Hand and Foot Aperture Drape Pack,DRA-710083,B245584,2027-01-04,27,pk,Team Leader, 2026-07-07T22:00:00+00:00 ,Top-up requested
Northbank Orthopaedic Centre,Orthopaedic Implant Store,B4, Surgical Patties ,DIS-213773, B208751 ,2026-07-15,23, ea ,Theatre Stores Coordinator,2026-07-06T20:00:00+00:00, Packaging damaged - review 
Northbank Orthopaedic Centre,Vendor Loan Kit Holding Bay, B1 , Trapeziatome Spacer ,IMP-747591,B245718,2026-10-06,1,ea,Stock and Procurement Manager,2026-07-05T17:00:00+00:00, Packaging damaged - review 
Local NHS Trust,Day Surgery Store,A2,Malleolar Screws,IMP-751256,B764845, 2027-07-08 , 16 , each ,Team Leader,2026-07-05T11:00:00+00:00, Implant coordinator to confirm sizes 
Riverside Elective Surgical Hub,Main Theatre Sterile Store,Top-up Trolley,Pulse Lavage Tip,CON-461988, B288056 ,2027-01-04, 136 ,box,Deputy Team Leader,2026-07-07T12:00:00+00:00,N/A
Northbank Orthopaedic Centre, Orthopaedic Implant Store , A2 ,Nylon 4-0, SUT-765664 ,B901387,2027-01-04,68,bx,Deputy Team Leader,2026-07-07T06:00:00+00:00,Counted during morning theatre check
 Northbank Orthopaedic Centre ,Day Surgery Store,C2, Humeral Tray ,IMP-241240,B499898, 2027-01-04 ,0,ea,Deputy Team Leader,2026-07-07T18:00:00+00:00,Top-up requested
 Northbank Orthopaedic Centre , Orthopaedic Implant Store ,C2,Glenoid Base Component,IMP-748674,B282237,2026-07-15, 1 ,ea,Deputy Team Leader,2026-07-06T19:00:00+00:00,N/A
Northbank Orthopaedic Centre,Orthopaedic Implant Store,B1,Ultrasound Gel, CON-777492 , B286340 ,2026-10-06,81,pack,Deputy Team Leader,2026-07-07T08:00:00+00:00,Top-up requested
 Northbank Orthopaedic Centre ,Main Theatre Sterile Store,Implant Cabinet,Hand Arthroplasty Set,INS-104537,B595002, N/A ,1,tray,Stock and Procurement Manager,2026-07-07T20:00:00+00:00,
Local NHS Trust,Day Surgery Store,C2, CPCS Stem ,IMP-626119,B965401,2027-07-08, 10 ,ea,Team Leader,2026-07-05T10:00:00+00:00,Implant coordinator to confirm sizes
Riverside Elective Surgical Hub,Orthopaedic Implant Store,Implant Cabinet,Sterile Gloves (Pair),CON-272669, B196446 ,2026-07-15, 121 , pr ,Deputy Team Leader, 2026-07-07T08:00:00+00:00 ,Top-up requested
Northbank Orthopaedic Centre,Vendor Loan Kit Holding Bay,A2,Mepitel, DRE-864355 ,B788784,2027-01-04, 30 ,pack,Theatre Stores Coordinator,2026-07-07T05:00:00+00:00,Top-up requested
 Northbank Orthopaedic Centre ,Main Theatre Sterile Store,A2,Disposable Drill Bit 4.5mm, DIS-863026 ,B454278,2026-10-06,103,pack,Theatre Stores Coordinator,2026-07-06T13:00:00+00:00,Top-up requested
Local NHS Trust,Main Theatre Sterile Store,B1,Compression Screws,IMP-830775,B366641,2028-06-27,13,ea, Team Leader ,2026-07-05T04:00:00+00:00,N/A
 Riverside Elective Surgical Hub , Trauma Emergency Cupboard ,A2,Monocryl 5-0,SUT-365867, B221916 ,2026-10-06, 9 ,box, Theatre Stores Coordinator , 2026-07-07T02:00:00+00:00 ,Implant coordinator to confirm sizes
Riverside Elective Surgical Hub,Orthopaedic Implant Store, Top-up Trolley ,Saw Blade (Conmed) x 1 Ref#5071-201,CON-709173,B106687,2027-01-04, 70 ,bx,Team Leader,2026-07-06T13:00:00+00:00,Top-up requested
Local NHS Trust,Main Theatre Sterile Store,A1,Opsite Flexifix,DRE-794110,B414922,2026-06-18,42,pk,Stock and Procurement Manager,2026-07-05T05:00:00+00:00,Top-up requested
Northbank Orthopaedic Centre,Orthopaedic Implant Store,B1,Arthroscopy Fluid 3L,CON-266520,B950083,2028-06-27,34, btl ,Stock and Procurement Manager, 2026-07-07T10:00:00+00:00 ,Counted during morning theatre check
Local NHS Trust, Trauma Emergency Cupboard ,Top-up Trolley,Monocryl 3-0, SUT-491334 ,B702833,2027-01-04,63,box,Theatre Stores Coordinator,2026-07-05T18:00:00+00:00, Packaging damaged - review 
Local NHS Trust,Trauma Emergency Cupboard,A1,CPCS Total Hip System,INS-387907, B836038 , N/A ,1,tray,Deputy Team Leader, 2026-07-06T03:00:00+00:00 , Top-up requested 
Local NHS Trust,Vendor Loan Kit Holding Bay, Top-up Trolley ,1st MTP Fusion Plate,IMP-694980,B821673, 2027-07-08 , 17 ,ea,Deputy Team Leader,2026-07-05T05:00:00+00:00, Top-up requested 
 Local NHS Trust ,Day Surgery Store,Implant Cabinet,Arthrex Synergy UHD4 Imaging Console,EQU-843844,B477114,N/A,2,unit,Theatre Stores Coordinator,2026-07-06T19:00:00+00:00,Counted during morning theatre check
Riverside Elective Surgical Hub,Day Surgery Store,A2,Synthes Small Fragment Set,INS-698409, B116078 ,N/A,7, tray ,Team Leader,2026-07-07T07:00:00+00:00,Counted during morning theatre check
Northbank Orthopaedic Centre,Day Surgery Store,Implant Cabinet,Humeral Stem Component,IMP-514173,B447148, 2026-08-07 ,5, each ,Theatre Stores Coordinator,2026-07-07T14:00:00+00:00,
Local NHS Trust,Day Surgery Store,A2,SwiveLock Anchors, IMP-576685 ,B966589,2027-01-04,2,ea, Theatre Stores Coordinator ,2026-07-07T19:00:00+00:00,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre, Trauma Emergency Cupboard , A1 ,Smith & Nephew R3 Acetabular System,INS-804054, B160423 ,N/A,3, tray ,Team Leader,2026-07-07T18:00:00+00:00,
Local NHS Trust,Day Surgery Store,Top-up Trolley,Anatomic Tibia Locking Plate Set,IMP-326485, B224473 ,2026-06-18,14,each,Theatre Stores Coordinator,2026-07-06T21:00:00+00:00,Implant coordinator to confirm sizes
 Riverside Elective Surgical Hub ,Vendor Loan Kit Holding Bay,B1,Ethibond Excel #2,SUT-806562,B525151,2026-07-15,28,box, Theatre Stores Coordinator ,2026-07-07T12:00:00+00:00, Counted during morning theatre check 
 Riverside Elective Surgical Hub , Trauma Emergency Cupboard ,B1,Steinmann Pin 3.0mm, DIS-316847 ,B971002, 2027-01-04 , 44 ,bx,Team Leader,2026-07-07T03:00:00+00:00, Implant coordinator to confirm sizes 
Riverside Elective Surgical Hub,Orthopaedic Implant Store,C2,Intramedullary Femoral Nail,IMP-938826,B663876,2028-06-27,4, each ,Theatre Stores Coordinator,2026-07-07T11:00:00+00:00,Implant coordinator to confirm sizes
