event_id,scanner_id,event_type,barcode_gtin,item_id,item_description,lot_id,batch_number,location_id,quantity_delta,event_timestamp,case_id,operator_role,source_system
SCAN-20260708-000001,SCAN-T2-01,stock_count,05029959001094,INV-SUTU-TI_CRON_2,Ti-Cron #2,LOT-SUTU-TI_CRON_2-02,B675191,LOC-STOCK-03,-3,2026-06-25T22:45:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000002,SCAN-IMPLANT-01,receipt_scan,05074648877190,INV-CONS-SCALPEL_BLADE_10,Scalpel Blade #10,LOT-CONS-SCALPEL_BLADE_10-02,B834891,LOC-STOCK-04,-1,2026-06-28T16:28:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000003,SCAN-STORE-01,stock_count,05027790104328,INV-IMPL-TIBIAL_BASEPLATE,Tibial Baseplate,LOT-IMPL-TIBIAL_BASEPLATE-01,B506945,LOC-STOCK-03,1,2026-06-27T22:18:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000004,SCAN-T1-01,stock_count,05031647525534,INV-INST-CONMED_POWERTOOLS_WITH_TRINKLE,Conmed PowerTools with Trinkle,LOT-INST-CONMED_POWERTOOLS_WITH_TRINKLE-01,B238353,LOC-STOCK-04,1,2026-06-30T07:15:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000005,SCAN-T2-01,quarantine_scan,05081561497840,INV-DISP-STEINMANN_PIN_4_0MM,Steinmann Pin 4.0mm,LOT-DISP-STEINMANN_PIN_4_0MM-02,B775636,LOC-STOCK-03,-1,2026-07-06T14:26:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000006,SCAN-T2-01,stock_count,05037631165667,INV-INST-SPLASH_BOWL,Splash Bowl,LOT-INST-SPLASH_BOWL-01,B988283,LOC-STOCK-04,-1,2026-07-06T16:26:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000007,SCAN-STORE-01,stock_count,05052404157473,INV-DRES-STERI_STRIPS_12MM,Steri-Strips 12mm,LOT-DRES-STERI_STRIPS_12MM-01,B883997,LOC-STOCK-02,-1,2026-06-28T20:28:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000008,SCAN-STORE-01,transfer,05068970283857,INV-DRES-OPSITE_FLEXIFIX,Opsite Flexifix,LOT-DRES-OPSITE_FLEXIFIX-02,B690500,LOC-STOCK-02,-2,2026-06-30T20:41:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000009,SCAN-T2-01,stock_count,05018495931034,INV-INST-CONMED_POWERTOOLS,Conmed PowerTools,LOT-INST-CONMED_POWERTOOLS-01,B563303,LOC-STOCK-05,-2,2026-06-28T19:24:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000010,SCAN-IMPLANT-01,issue_to_case,05056258815371,INV-SUTU-VICRYL_1,Vicryl 1,LOT-SUTU-VICRYL_1-01,B532961,LOC-STOCK-03,-2,2026-06-30T03:27:00+00:00,CASE-246627,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000011,SCAN-STORE-01,receipt_scan,05028588424745,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,LOT-DISP-DISPOSABLE_BURR_4_0MM-03,B923002,LOC-STOCK-03,-1,2026-07-05T03:12:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000012,SCAN-T1-01,issue_to_case,05095205852772,INV-SUTU-ETHILON_3_0,Ethilon 3-0,LOT-SUTU-ETHILON_3_0-02,B732789,LOC-STOCK-02,-1,2026-06-25T10:40:00+00:00,CASE-245115,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000013,SCAN-T2-01,stock_count,05078390847007,INV-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI,Disposable Saw Blade - Oscillating,LOT-DISP-DISPOSABLE_SAW_BLADE_OSCILLATI-01,B128783,LOC-STOCK-03,1,2026-07-07T08:47:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000014,SCAN-STORE-01,issue_to_case,05039473121727,INV-SUTU-NYLON_4_0,Nylon 4-0,LOT-SUTU-NYLON_4_0-03,B667036,LOC-STOCK-04,-2,2026-06-28T09:08:00+00:00,CASE-248278,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000015,SCAN-STORE-01,receipt_scan,05019380262067,INV-DRES-TUBIGRIP_SIZE_B,Tubigrip Size B,LOT-DRES-TUBIGRIP_SIZE_B-02,B818651,LOC-STOCK-02,2,2026-06-26T10:51:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000016,SCAN-T1-01,receipt_scan,05066587603669,INV-DRAP-SPINE_SURGICAL_DRAPE_PACK,Spine Surgical Drape Pack,LOT-DRAP-SPINE_SURGICAL_DRAPE_PACK-02,B720970,LOC-STOCK-04,-1,2026-07-01T05:17:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000017,SCAN-STORE-01,receipt_scan,05004991547887,INV-DRES-TUBIGRIP_SIZE_C,Tubigrip Size C,LOT-DRES-TUBIGRIP_SIZE_C-02,B494900,LOC-STOCK-01,1,2026-06-24T18:23:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000018,SCAN-T2-01,return_to_store,05052404157473,INV-DRES-STERI_STRIPS_12MM,Steri-Strips 12mm,LOT-DRES-STERI_STRIPS_12MM-01,B883997,LOC-STOCK-02,2,2026-07-01T04:36:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000019,SCAN-T2-01,stock_count,05062456506098,INV-DRES-AQUACEL_AG,Aquacel Ag,LOT-DRES-AQUACEL_AG-02,B472787,LOC-STOCK-01,-2,2026-06-29T09:45:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000020,SCAN-STORE-01,issue_to_case,05004991547887,INV-DRES-TUBIGRIP_SIZE_C,Tubigrip Size C,LOT-DRES-TUBIGRIP_SIZE_C-02,B494900,LOC-STOCK-01,-1,2026-06-24T17:57:00+00:00,CASE-243154,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000021,SCAN-IMPLANT-01,receipt_scan,05079807935978,INV-IMPL-FEMORAL_STEM_COMPONENT,Femoral Stem Component,LOT-IMPL-FEMORAL_STEM_COMPONENT-01,B953568,LOC-STOCK-03,-3,2026-06-28T14:58:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000022,SCAN-T2-01,receipt_scan,05048236629946,INV-DRAP-HIP_FRACTURE_DRAPE_PACK,Hip Fracture Drape Pack,LOT-DRAP-HIP_FRACTURE_DRAPE_PACK-02,B943135,LOC-STOCK-04,-1,2026-07-03T02:42:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000023,SCAN-IMPLANT-01,issue_to_case,05043303654145,INV-DRAP-APPROACH_DRAPE,Approach Drape,LOT-DRAP-APPROACH_DRAPE-03,B189856,LOC-STOCK-04,-1,2026-06-25T06:44:00+00:00,CASE-248502,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000024,SCAN-IMPLANT-01,transfer,05057662702895,INV-CONS-SUTURE_REMOVAL_KIT,Suture Removal Kit,LOT-CONS-SUTURE_REMOVAL_KIT-01,B129576,LOC-STOCK-05,-1,2026-06-26T20:39:00+00:00,,Stores Coordinator,ScanTrack Theatre Inventory
SCAN-20260708-000025,SCAN-T2-01,stock_count,05062268388516,INV-IMPL-1ST_MTP_FUSION_PLATE,1st MTP Fusion Plate,LOT-IMPL-1ST_MTP_FUSION_PLATE-03,B821673,LOC-STOCK-05,-1,2026-07-05T02:35:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000026,SCAN-T1-01,issue_to_case,05044375758441,INV-DRES-PRIMAPORE,Primapore,LOT-DRES-PRIMAPORE-01,B500080,LOC-STOCK-05,-2,2026-07-03T03:53:00+00:00,CASE-247461,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000027,SCAN-STORE-01,stock_count,05098393010310,INV-INST-SMALL_JOINT_ARTHROSCOPY_SET,Small Joint Arthroscopy Set,LOT-INST-SMALL_JOINT_ARTHROSCOPY_SET-01,B528090,LOC-STOCK-04,1,2026-06-24T07:27:00+00:00,,ODP,ScanTrack Theatre Inventory
SCAN-20260708-000028,SCAN-STORE-01,receipt_scan,05072788957986,INV-DRAP-REINFORCED_SPLIT_SHEET_200X260,Reinforced Split Sheet (200x260cm),LOT-DRAP-REINFORCED_SPLIT_SHEET_200X260-02,B635482,LOC-STOCK-02,1,2026-06-26T02:30:00+00:00,,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000029,SCAN-STORE-01,issue_to_case,05077434873471,INV-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC,Shoulder Arthroscopy Drape Pack,LOT-DRAP-SHOULDER_ARTHROSCOPY_DRAPE_PAC-03,B146853,LOC-STOCK-03,2,2026-07-01T07:27:00+00:00,CASE-247961,Scrub Practitioner,ScanTrack Theatre Inventory
SCAN-20260708-000030,SCAN-IMPLANT-01,receipt_scan,05070805310033,INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,LOT-CONS-ARTHROSCOPY_FLUID_3L-01,B635618,LOC-STOCK-05,1,2026-07-01T01:21:00+00:00,,ODP,ScanTrack Theatre Inventory
