Lot Id,Item Id,Canonical Name,Item Type,Catalogue No,Barcode Gtin,Unit Of Measure,Location Id,Location Name,Batch/Lot,Serial Number,Expiry Date,Recall Status,Sterility Status,Qty On Hand,Qty Reserved,Unit Cost GBP,Last Counted At,Source System
LOT-INST-ARTHREX_CUFF_REPAIR_KIT-01,INV-INST-ARTHREX_CUFF_REPAIR_KIT,Arthrex Cuff Repair Kit,instrument,INS-710385,05010433218196,tray,LOC-STOCK-01,Main Theatre Sterile Store,B588002,S6147356,, clear , in_use , 1 , 0 ,"GBP 1,770.31",22/06/2026 00:00, ERP Materials Management 
LOT-INST-BICEPS_TENODESIS_KIT-01,INV-INST-BICEPS_TENODESIS_KIT, Biceps Tenodesis Kit ,instrument,INS-860182,05001338908386, tray ,LOC-STOCK-03,Day Surgery Store,B744481,S4705235,N/A, clear ,in_use, 5 ,1,"GBP 3,840.10",23/06/2026 00:00,Manual Theatre Stocktake
LOT-INST-CPCS_TOTAL_HIP_SYSTEM-01,INV-INST-CPCS_TOTAL_HIP_SYSTEM,CPCS Total Hip System,instrument,INS-387907,05079402654235,tray,LOC-STOCK-04,Trauma Emergency Cupboard, B836038 ,S8899184,N/A, quarantined , awaiting_sterilisation ,3,1,"GBP 3,106.97",17/06/2026 00:00,ERP Materials Management
LOT-INST-CASPAR_RETRACTOR_SYSTEM-01,INV-INST-CASPAR_RETRACTOR_SYSTEM, Caspar Retractor System ,instrument, INS-603026 ,05016155940781,tray,LOC-STOCK-03,Day Surgery Store, B181896 ,S2882551,N/A,clear,sterile,9, 0 ,"GBP 3,357.90",22/06/2026 00:00, Manual Theatre Stocktake 
LOT-INST-CONMED_POWERTOOLS-01,INV-INST-CONMED_POWERTOOLS,Conmed PowerTools,instrument,INS-212915, 05018495931034 ,tray,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B563303, S2950183 ,,clear,awaiting_sterilisation,6,5,"GBP 1,020.26",20/06/2026 00:00,ScanTrack Theatre Inventory
LOT-INST-CONMED_POWERTOOLS_WITH_TRINKLE-01,INV-INST-CONMED_POWERTOOLS_WITH_TRINKLE, Conmed PowerTools with Trinkle ,instrument,INS-540250,05031647525534,tray,LOC-STOCK-04,Trauma Emergency Cupboard,B238353,S9610869,,clear,awaiting_sterilisation,1,1,"GBP 1,962.99",07/07/2026 00:00,ERP Materials Management
LOT-INST-DEPUY_SYNTHES_TFNA_INSTRUMENT_-01,INV-INST-DEPUY_SYNTHES_TFNA_INSTRUMENT_, DePuy Synthes TFNA Instrument Tray ,instrument,INS-534059,05019283276483,tray,LOC-STOCK-04, Trauma Emergency Cupboard ,B366817, S1050591 ,N/A,clear,awaiting_sterilisation,1,0,"GBP 2,418.67",07/07/2026 00:00,ScanTrack Theatre Inventory
LOT-INST-HAND_ARTHROPLASTY_SET-01,INV-INST-HAND_ARTHROPLASTY_SET,Hand Arthroplasty Set, instrument ,INS-104537,05003056413953,tray,LOC-STOCK-01,Main Theatre Sterile Store,B595002,S1532422,N/A, clear ,awaiting_sterilisation, 1 ,1,"GBP 1,783.25",04/07/2026 00:00, ERP Materials Management 
LOT-INST-HERAEUS_CEMENT_GUN-01,INV-INST-HERAEUS_CEMENT_GUN,Heraeus Cement Gun,instrument, INS-416554 ,05067242388496,tray,LOC-STOCK-04, Trauma Emergency Cupboard ,B570325,S7333337,N/A,supplier_notice,awaiting_sterilisation, 6 ,3,GBP 550.94,17/06/2026 00:00,ERP Materials Management
LOT-INST-JOURNEY_II_BCS_KNEE_SYSTEM-01,INV-INST-JOURNEY_II_BCS_KNEE_SYSTEM,JOURNEY II BCS Knee System,instrument,INS-725688,05053287101226, tray ,LOC-STOCK-02,Orthopaedic Implant Store,B663356, S7594429 ,,clear,awaiting_sterilisation, 2 ,2,GBP 727.55,01/07/2026 00:00,Manual Theatre Stocktake
LOT-INST-JUG-01,INV-INST-JUG,Jug, instrument , INS-223302 ,05066978480184,tray,LOC-STOCK-05,Vendor Loan Kit Holding Bay, B544730 ,S9924365,,supplier_notice,sterile,8,3,"GBP 3,337.60",01/07/2026 00:00,ScanTrack Theatre Inventory
LOT-INST-LARGE_ORTHOPAEDIC_SET-01,INV-INST-LARGE_ORTHOPAEDIC_SET,Large Orthopaedic Set,instrument,INS-455066,05014627048281, tray ,LOC-STOCK-01, Main Theatre Sterile Store ,B948799, S8033690 ,N/A,clear,sterile,2, 2 ,"GBP 3,122.70",08/07/2026 00:00,Manual Theatre Stocktake
